mu_polymer	gamma_coefficient	alpha_scaling	volume_eigenvalue_cutoff	target_scale_m	rho_pred_j_m3	rho_obs_j_m3	ratio_pred_to_obs	log10_ratio
0.05	0.3	0.05	5.0	1e-15	1.59152328718842973e+119	5.28313811725251248e-10	3.01245822438596176e+128	1.28478921032995544e+02
0.05	0.3	0.05	10.0	1e-15	9.58600588340189007e+131	5.28313811725251248e-10	1.81445301460092764e+141	1.41258745726593475e+02
0.05	0.3	0.05	20.0	1e-15	4.81362077334185747e+163	5.28313811725251248e-10	9.11129080200003080e+172	1.72959579908089864e+02
0.05	0.3	0.1	5.0	1e-15	1.73182433583667267e+119	5.28313811725251248e-10	3.27802207211138580e+128	1.28515611873506572e+02
0.05	0.3	0.1	10.0	1e-15	1.07803171517723593e+132	5.28313811725251248e-10	2.04051397342203998e+141	1.41309739573164336e+02
0.05	0.3	0.1	20.0	1e-15	5.59818147676993522e+163	5.28313811725251248e-10	1.05963186131527078e+173	1.73025155008312794e+02
0.05	0.3	0.2	5.0	1e-15	2.05064008732460433e+119	5.28313811725251248e-10	3.88148112317577737e+128	1.28588997478398312e+02
0.05	0.3	0.2	10.0	1e-15	1.36338840587797297e+132	5.28313811725251248e-10	2.58064123181962340e+141	1.41411727631870036e+02
0.05	0.3	0.2	20.0	1e-15	7.57176621236114712e+163	5.28313811725251248e-10	1.43319482555925152e+173	1.73156305231509748e+02
0.05	1.0	0.05	5.0	1e-15	1.59152328718842973e+119	5.28313811725251248e-10	3.01245822438596176e+128	1.28478921032995544e+02
0.05	1.0	0.05	10.0	1e-15	9.58600588340189007e+131	5.28313811725251248e-10	1.81445301460092764e+141	1.41258745726593475e+02
0.05	1.0	0.05	20.0	1e-15	4.81362077334185747e+163	5.28313811725251248e-10	9.11129080200003080e+172	1.72959579908089864e+02
0.05	1.0	0.1	5.0	1e-15	1.73182433583667267e+119	5.28313811725251248e-10	3.27802207211138580e+128	1.28515611873506572e+02
0.05	1.0	0.1	10.0	1e-15	1.07803171517723593e+132	5.28313811725251248e-10	2.04051397342203998e+141	1.41309739573164336e+02
0.05	1.0	0.1	20.0	1e-15	5.59818147676993522e+163	5.28313811725251248e-10	1.05963186131527078e+173	1.73025155008312794e+02
0.05	1.0	0.2	5.0	1e-15	2.05064008732460433e+119	5.28313811725251248e-10	3.88148112317577737e+128	1.28588997478398312e+02
0.05	1.0	0.2	10.0	1e-15	1.36338840587797297e+132	5.28313811725251248e-10	2.58064123181962340e+141	1.41411727631870036e+02
0.05	1.0	0.2	20.0	1e-15	7.57176621236114712e+163	5.28313811725251248e-10	1.43319482555925152e+173	1.73156305231509748e+02
0.05	3.0	0.05	5.0	1e-15	1.59152328718842973e+119	5.28313811725251248e-10	3.01245822438596176e+128	1.28478921032995544e+02
0.05	3.0	0.05	10.0	1e-15	9.58600588340189007e+131	5.28313811725251248e-10	1.81445301460092764e+141	1.41258745726593475e+02
0.05	3.0	0.05	20.0	1e-15	4.81362077334185747e+163	5.28313811725251248e-10	9.11129080200003080e+172	1.72959579908089864e+02
0.05	3.0	0.1	5.0	1e-15	1.73182433583667267e+119	5.28313811725251248e-10	3.27802207211138580e+128	1.28515611873506572e+02
0.05	3.0	0.1	10.0	1e-15	1.07803171517723593e+132	5.28313811725251248e-10	2.04051397342203998e+141	1.41309739573164336e+02
0.05	3.0	0.1	20.0	1e-15	5.59818147676993522e+163	5.28313811725251248e-10	1.05963186131527078e+173	1.73025155008312794e+02
0.05	3.0	0.2	5.0	1e-15	2.05064008732460433e+119	5.28313811725251248e-10	3.88148112317577737e+128	1.28588997478398312e+02
0.05	3.0	0.2	10.0	1e-15	1.36338840587797297e+132	5.28313811725251248e-10	2.58064123181962340e+141	1.41411727631870036e+02
0.05	3.0	0.2	20.0	1e-15	7.57176621236114712e+163	5.28313811725251248e-10	1.43319482555925152e+173	1.73156305231509748e+02
0.1	0.3	0.05	5.0	1e-15	1.20719240923043978e+118	5.28313811725251248e-10	2.28499119734965070e+127	1.27358884531342483e+02
0.1	0.3	0.05	10.0	1e-15	1.38949393193846027e+131	5.28313811725251248e-10	2.63005414793332015e+140	1.40419964689899103e+02
0.1	0.3	0.05	20.0	1e-15	2.78531206473064223e+163	5.28313811725251248e-10	5.27207883442414981e+172	1.72721981895724696e+02
0.1	0.3	0.1	5.0	1e-15	1.31061305538544904e+118	5.28313811725251248e-10	2.48074728749857346e+127	1.27394582525161013e+02
0.1	0.3	0.1	10.0	1e-15	1.56252417296785394e+131	5.28313811725251248e-10	2.95756828288343559e+140	1.40470934780193346e+02
0.1	0.3	0.1	20.0	1e-15	3.23931493438698379e+163	5.28313811725251248e-10	6.13142201186968860e+172	1.72787561208660065e+02
0.1	0.3	0.2	5.0	1e-15	1.54484961382708521e+118	5.28313811725251248e-10	2.92411362251207193e+127	1.27465994244028394e+02
0.1	0.3	0.2	10.0	1e-15	1.97591159740480059e+131	5.28313811725251248e-10	3.74003396002898787e+140	1.40572875545672730e+02
0.1	0.3	0.2	20.0	1e-15	4.38138892721958937e+163	5.28313811725251248e-10	8.29315613179184416e+172	1.72918719841740369e+02
0.1	1.0	0.05	5.0	1e-15	1.20719240923043978e+118	5.28313811725251248e-10	2.28499119734965070e+127	1.27358884531342483e+02
0.1	1.0	0.05	10.0	1e-15	1.38949393193846027e+131	5.28313811725251248e-10	2.63005414793332015e+140	1.40419964689899103e+02
0.1	1.0	0.05	20.0	1e-15	2.78531206473064223e+163	5.28313811725251248e-10	5.27207883442414981e+172	1.72721981895724696e+02
0.1	1.0	0.1	5.0	1e-15	1.31061305538544904e+118	5.28313811725251248e-10	2.48074728749857346e+127	1.27394582525161013e+02
0.1	1.0	0.1	10.0	1e-15	1.56252417296785394e+131	5.28313811725251248e-10	2.95756828288343559e+140	1.40470934780193346e+02
0.1	1.0	0.1	20.0	1e-15	3.23931493438698379e+163	5.28313811725251248e-10	6.13142201186968860e+172	1.72787561208660065e+02
0.1	1.0	0.2	5.0	1e-15	1.54484961382708521e+118	5.28313811725251248e-10	2.92411362251207193e+127	1.27465994244028394e+02
0.1	1.0	0.2	10.0	1e-15	1.97591159740480059e+131	5.28313811725251248e-10	3.74003396002898787e+140	1.40572875545672730e+02
0.1	1.0	0.2	20.0	1e-15	4.38138892721958937e+163	5.28313811725251248e-10	8.29315613179184416e+172	1.72918719841740369e+02
0.1	3.0	0.05	5.0	1e-15	1.20719240923043978e+118	5.28313811725251248e-10	2.28499119734965070e+127	1.27358884531342483e+02
0.1	3.0	0.05	10.0	1e-15	1.38949393193846027e+131	5.28313811725251248e-10	2.63005414793332015e+140	1.40419964689899103e+02
0.1	3.0	0.05	20.0	1e-15	2.78531206473064223e+163	5.28313811725251248e-10	5.27207883442414981e+172	1.72721981895724696e+02
0.1	3.0	0.1	5.0	1e-15	1.31061305538544904e+118	5.28313811725251248e-10	2.48074728749857346e+127	1.27394582525161013e+02
0.1	3.0	0.1	10.0	1e-15	1.56252417296785394e+131	5.28313811725251248e-10	2.95756828288343559e+140	1.40470934780193346e+02
0.1	3.0	0.1	20.0	1e-15	3.23931493438698379e+163	5.28313811725251248e-10	6.13142201186968860e+172	1.72787561208660065e+02
0.1	3.0	0.2	5.0	1e-15	1.54484961382708521e+118	5.28313811725251248e-10	2.92411362251207193e+127	1.27465994244028394e+02
0.1	3.0	0.2	10.0	1e-15	1.97591159740480059e+131	5.28313811725251248e-10	3.74003396002898787e+140	1.40572875545672730e+02
0.1	3.0	0.2	20.0	1e-15	4.38138892721958937e+163	5.28313811725251248e-10	8.29315613179184416e+172	1.72918719841740369e+02
0.15	0.3	0.05	5.0	1e-15	1.20093241829635724e+118	5.28313811725251248e-10	2.27314219625380562e+127	1.27356626603836190e+02
0.15	0.3	0.05	10.0	1e-15	2.07226754841395514e+130	5.28313811725251248e-10	3.92241789334789278e+139	1.39593553861414080e+02
0.15	0.3	0.05	20.0	1e-15	9.28028544650424470e+162	5.28313811725251248e-10	1.75658580952080865e+172	1.72244669370006847e+02
0.15	0.3	0.1	5.0	1e-15	1.30663769393655204e+118	5.28313811725251248e-10	2.47322266603180703e+127	1.27393263217968936e+02
0.15	0.3	0.1	10.0	1e-15	2.33063497480258573e+130	5.28313811725251248e-10	4.41145948312747990e+139	1.39644582294820822e+02
0.15	0.3	0.1	20.0	1e-15	1.07930006478613726e+163	5.28313811725251248e-10	2.04291472384868398e+172	1.72310250238519416e+02
0.15	0.3	0.2	5.0	1e-15	1.54680936581255966e+118	5.28313811725251248e-10	2.92782306932565194e+127	1.27466544828418719e+02
0.15	0.3	0.2	10.0	1e-15	2.94802530965741379e+130	5.28313811725251248e-10	5.58006481040198429e+139	1.39746639243137679e+02
0.15	0.3	0.2	20.0	1e-15	1.45983557127113598e+163	5.28313811725251248e-10	2.76319781703969734e+172	1.72441411977125540e+02
0.15	1.0	0.05	5.0	1e-15	1.20093241829635724e+118	5.28313811725251248e-10	2.27314219625380562e+127	1.27356626603836190e+02
0.15	1.0	0.05	10.0	1e-15	2.07226754841395514e+130	5.28313811725251248e-10	3.92241789334789278e+139	1.39593553861414080e+02
0.15	1.0	0.05	20.0	1e-15	9.28028544650424470e+162	5.28313811725251248e-10	1.75658580952080865e+172	1.72244669370006847e+02
0.15	1.0	0.1	5.0	1e-15	1.30663769393655204e+118	5.28313811725251248e-10	2.47322266603180703e+127	1.27393263217968936e+02
0.15	1.0	0.1	10.0	1e-15	2.33063497480258573e+130	5.28313811725251248e-10	4.41145948312747990e+139	1.39644582294820822e+02
0.15	1.0	0.1	20.0	1e-15	1.07930006478613726e+163	5.28313811725251248e-10	2.04291472384868398e+172	1.72310250238519416e+02
0.15	1.0	0.2	5.0	1e-15	1.54680936581255966e+118	5.28313811725251248e-10	2.92782306932565194e+127	1.27466544828418719e+02
0.15	1.0	0.2	10.0	1e-15	2.94802530965741379e+130	5.28313811725251248e-10	5.58006481040198429e+139	1.39746639243137679e+02
0.15	1.0	0.2	20.0	1e-15	1.45983557127113598e+163	5.28313811725251248e-10	2.76319781703969734e+172	1.72441411977125540e+02
0.15	3.0	0.05	5.0	1e-15	1.20093241829635724e+118	5.28313811725251248e-10	2.27314219625380562e+127	1.27356626603836190e+02
0.15	3.0	0.05	10.0	1e-15	2.07226754841395514e+130	5.28313811725251248e-10	3.92241789334789278e+139	1.39593553861414080e+02
0.15	3.0	0.05	20.0	1e-15	9.28028544650424470e+162	5.28313811725251248e-10	1.75658580952080865e+172	1.72244669370006847e+02
0.15	3.0	0.1	5.0	1e-15	1.30663769393655204e+118	5.28313811725251248e-10	2.47322266603180703e+127	1.27393263217968936e+02
0.15	3.0	0.1	10.0	1e-15	2.33063497480258573e+130	5.28313811725251248e-10	4.41145948312747990e+139	1.39644582294820822e+02
0.15	3.0	0.1	20.0	1e-15	1.07930006478613726e+163	5.28313811725251248e-10	2.04291472384868398e+172	1.72310250238519416e+02
